x,y
1.4968,1.450908
-6.9858,-3.444173
3.8847,2.4965195
6.826,4.31821
7.0887,4.6415595
3.7527,2.0396995
-4.0696,-1.865576
-6.4881,-3.3669485
-0.5649,0.8509435
-6.5432,-4.669092
1.0623,0.8749755
-6.5647,-3.6275195
9.473,6.722005
-3.3059,-1.8268415
4.1526,2.974331
-0.747,0.779905
7.3091,5.1793335
-1.3503,-0.9314555
8.5616,7.233296
1.6926,0.566031
-3.4241,-1.7321085
2.7267,2.6741895
-2.534,-0.69889
-4.7052,-3.240762
9.7066,6.406621
2.9107,1.4916295
6.3861,3.8965785
-4.9714,-2.018109
-8.8608,-5.150448
-7.6494,-5.717139
0.4272,1.624432
6.842,5.93237
8.1316,6.440346
-7.2505,-4.2317925
8.4477,7.1839745
4.7852,4.106962
-0.1805,0.9714575
-3.4886,-2.981591
-4.5472,-3.422632
2.6636,1.591566
0.7654,0.421199
3.1835,2.1528975
2.4464,1.690784
-8.5267,-6.3699895
5.4143,4.6897955
-2.5383,-2.1555355
1.4357,1.9418545
9.3064,5.813284
5.4268,4.303558
-6.3625,-4.8046125
-4.7807,-1.9580795
-6.8426,-4.147781
-6.7186,-4.950741
3.871,2.810435
8.6244,5.545514
2.8304,2.373924
3.5243,2.8693455
-0.1456,-0.065536
4.8174,3.206519
-2.6581,-1.7902985
8.8828,6.843318
6.2691,5.4401335
-1.8997,-1.7204945
-6.8352,-3.650812
-0.6008,0.913252
-5.7318,-3.647783
-9.5786,-5.371741
-7.8801,-4.8281685
0.1713,0.1372405
-9.3602,-5.078237
-8.5255,-4.9856675
0.1943,0.9704955
8.3069,6.2078265
8.5173,6.7122505
-9.4046,-6.533251
-1.5225,-0.8507125
7.2154,5.996149
7.7293,5.2262705
-4.258,-3.38443
-0.286,0.73549
-5.0945,-2.4122325
-1.3015,-0.2878275
-4.959,-3.293615
4.6778,4.477693
3.3254,1.708199
7.2479,5.2733115
-2.6859,-2.0915415
6.7418,5.839533
-6.6621,-5.1061385
-3.7395,-3.1135575
-2.0432,-1.145992
5.9538,4.654953
7.2359,5.3621915
9.9773,7.6990505
5.332,5.01472
7.8887,6.5606595
-0.9591,-0.2784835
-7.494,-4.83509
-4.8387,-2.0547095
-0.2918,-0.105883
